First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Francisco,Figueiredo,Sniper,"5' 6""",125 lbs.,"68.0""",Southpaw,13,5,1,
Anthony,Figueroa,,"5' 4""",135 lbs.,--,Orthodox,11,8,1,
Edwin,Figueroa,El Feroz,"5' 7""",135 lbs.,"69.0""",Orthodox,9,5,0,
Paulo,Filho,,"5' 8""",185 lbs.,--,Southpaw,23,6,3,
Jafel,Filho,Pastor,"5' 7""",125 lbs.,"68.0""",Orthodox,14,3,0,
Andre,Fili,Touchy,"5' 11""",145 lbs.,"74.0""",Orthodox,22,9,0,
Mirko,Filipovic,Cro Cop,"6' 2""",230 lbs.,"73.0""",Southpaw,35,11,2,
Brady,Fink,,"6' 0""",183 lbs.,--,Orthodox,2,3,0,
Jesse,Finney,,"6' 0""",170 lbs.,--,,5,1,0,
Jan,Finney,Cuddles,"5' 8""",135 lbs.,--,Orthodox,11,12,0,
Luigi,Fioravanti,,"5' 8""",170 lbs.,"70.0""",Orthodox,26,15,0,
Nick,Fiore,,"5' 10""",155 lbs.,"72.0""",Orthodox,6,2,0,
Manon,Fiorot,The Beast,"5' 7""",125 lbs.,"65.0""",Orthodox,10,1,0,
Luiz,Firmino,Buscape,"5' 6""",154 lbs.,--,Orthodox,19,8,0,
Spencer,Fisher,The King,"5' 7""",155 lbs.,"68.0""",Southpaw,24,9,0,
Chris,Fishgold,,"5' 8""",145 lbs.,"68.0""",Orthodox,18,4,1,
Bryanna,Fissori,,"5' 4""",145 lbs.,--,,2,4,0,
Jon,Fitch,,"6' 0""",170 lbs.,"74.0""",Orthodox,30,7,1,
Isi,Fitikefu,Doxz,"5' 10""",205 lbs.,--,,6,0,0,
Rafael,Fiziev,Ataman,"5' 8""",155 lbs.,"71.0""",Switch,12,2,0,
Colin,Fletcher,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,14,8,0,
AJ,Fletcher,The Ghost,"5' 10""",170 lbs.,"67.0""",Switch,10,2,0,
Jimmy,Flick,The Brick,"5' 7""",125 lbs.,"68.0""",Orthodox,16,7,0,
Luke,Flores,,"6' 0""",155 lbs.,"73.0""",Southpaw,9,2,0,
Ty,Flores,Big Medicine,"6' 3""",205 lbs.,"73.0""",Switch,7,3,0,
Alejandro,Flores,El Gallito,"5' 10""",145 lbs.,"73.0""",Orthodox,17,3,0,
Kenny,Florian,KenFlo,"5' 10""",145 lbs.,"74.0""",Southpaw,14,6,0,
Darrius,Flowers,Beast Mode,"5' 9""",170 lbs.,"71.0""",Orthodox,12,5,1,
Cody,Floyd,,--,--,--,,2,0,0,
Bobby,Flynn,,--,170 lbs.,--,,6,4,0,
Caros,Fodor,The Future,"5' 9""",155 lbs.,"74.0""",Orthodox,11,6,0,
Mal,Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,5,0,
Matt,Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,4,0,
AJ,Fonseca,,"5' 4""",145 lbs.,--,,5,4,0,
Rob,Font,,"5' 8""",135 lbs.,"71.0""",Orthodox,20,6,0,
Claudionor,Fontinelle,,"5' 5""",185 lbs.,--,Orthodox,10,15,1,
Jesse,Forbes,Kid Hercules,"6' 2""",185 lbs.,"75.0""",Southpaw,15,5,0,
Sterling,Ford,,"5' 10""",155 lbs.,--,,15,7,0,
Codale,Ford,Crunch Time,"5' 9""",170 lbs.,--,,11,9,0,
Jussier,Formiga,,"5' 5""",125 lbs.,"67.0""",Orthodox,23,8,0,
Renee,Forte,,"5' 7""",155 lbs.,"71.0""",Orthodox,8,4,0,
Brianna,Fortino,The Bull,"5' 0""",115 lbs.,"62.0""",Southpaw,9,3,0,
Marcel,Fortuna,,"6' 1""",205 lbs.,"74.0""",Orthodox,9,3,0,
Brian,Foster,The Foster Boy,"5' 9""",170 lbs.,"71.0""",Orthodox,27,10,0,
Xavier,Foupa-Pokam,Professor X,"6' 1""",185 lbs.,--,Open Stance,32,22,0,
Mason,Fowler,,"5' 11""",170 lbs.,--,,2,0,0,
Brandon,Foxworth,,"5' 11""",145 lbs.,--,Orthodox,18,4,0,
Hermes,Franca,,"5' 6""",155 lbs.,"71.0""",Orthodox,24,17,0,
Glaico,Franca Moreira,Nego,"6' 0""",155 lbs.,"77.0""",Orthodox,15,5,0,
Francisco,France,Kiko,"6' 0""",205 lbs.,--,,13,5,1,
John,Franchi,,"5' 6""",145 lbs.,"67.0""",Orthodox,6,2,0,
Rich,Franklin,Ace,"6' 1""",185 lbs.,"76.0""",Southpaw,29,7,0,
Zoila,Frausto,Warrior Princess,"5' 4""",135 lbs.,--,Orthodox,13,5,0,
Stephanie,Frausto,Lil Bovy,"5' 2""",115 lbs.,"61.0""",Orthodox,8,7,0,
Zane,Frazier,Nasty,"6' 5""",250 lbs.,--,Orthodox,4,11,0,
Gary,Frazier,,"6' 0""",245 lbs.,--,Orthodox,3,3,0,
Justin,Frazier,The Grizzly Bear,"6' 0""",265 lbs.,"75.0""",Southpaw,10,3,0,
Ian,Freeman,The Machine,"5' 11""",225 lbs.,--,Orthodox,20,7,1,
Jason,Freeman,,"6' 2""",225 lbs.,--,,6,4,0,
Willamy,Freire,Chiquerim,"5' 8""",155 lbs.,--,,26,6,0,
Patricio,Freire,Pitbull,"5' 5""",145 lbs.,"65.0""",,26,4,0,
Patricky,Freire,Pitbull,"5' 7""",155 lbs.,"71.0""",,17,8,0,
Jeremy,Freitag,,"6' 1""",205 lbs.,--,,6,10,0,
Rafael,Freitas,Capoeira,--,205 lbs.,--,Orthodox,3,6,0,
Donavon,Frelow,,"5' 7""",135 lbs.,--,Orthodox,6,3,0,
Josh,Fremd,,"6' 4""",185 lbs.,"76.0""",Orthodox,10,4,0,
Clay,French,,"5' 7""",161 lbs.,--,Southpaw,19,7,0,
Mike,French,,"5' 10""",145 lbs.,--,,9,10,0,
Matt,Frevola,The SteamRolla,"5' 9""",155 lbs.,"71.0""",Orthodox,11,3,1,
Jinh Yu,Frey,,"5' 3""",115 lbs.,"65.0""",Southpaw,11,9,0,
Artem,Frolov,,"5' 10""",185 lbs.,--,,11,0,0,
Sarah,Frota,A Treta,"5' 6""",125 lbs.,"69.0""",Southpaw,9,2,0,
Don,Frye,The Predator,"6' 1""",219 lbs.,--,Orthodox,20,9,1,
Tony,Fryklund,The Freak,"6' 0""",185 lbs.,--,Orthodox,14,9,1,
Adam,Fugitt,,"6' 1""",170 lbs.,"77.0""",Southpaw,9,4,0,
Jesse,Fujarczyk,The Ronin,"6' 4""",225 lbs.,--,Southpaw,2,2,0,
Katsuhisa,Fujii,Shamoji,"6' 0""",205 lbs.,--,Orthodox,9,18,1,
Megumi,Fujii,Mega Megu,"5' 3""",113 lbs.,--,,26,3,0,
Kazuyuki,Fujita,Ironhead,"6' 0""",235 lbs.,--,Orthodox,15,12,0,
Keisuke,Fujiwara,,"5' 6""",139 lbs.,--,Switch,17,12,5,
Riki,Fukuda,,"6' 0""",185 lbs.,"73.0""",Southpaw,24,9,0,
Masio,Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,11,7,0,
Travis,Fulton,The Ironman,"6' 0""",240 lbs.,--,Orthodox,253,53,10,
Sam,Fulton,,--,--,--,,0,2,0,
Masakatsu,Funaki,,"6' 0""",185 lbs.,--,Southpaw,39,13,2,
Ricardo,Funch,Golden Boy,"5' 10""",170 lbs.,"74.0""",Southpaw,9,6,0,
Katsuaki,Furuki,,"6' 0""",168 lbs.,--,,1,1,0,
,,,,,,,,,,
James,Gabert,,--,178 lbs.,--,,6,4,0,
Gustavo,Gabriel,,"5' 6""",125 lbs.,--,Orthodox,13,1,0,
Claudia,Gadelha,Claudinha,"5' 4""",115 lbs.,"63.0""",Orthodox,18,5,0,
Alavutdin,Gadjiev,,"6' 2""",185 lbs.,--,Orthodox,18,13,1,
Magomed,Gadzhiyasulov,,--,205 lbs.,--,,7,0,0,
Justin,Gaethje,The Highlight,"5' 11""",155 lbs.,"70.0""",Orthodox,24,4,0,
Sheila,Gaff,The German Tank,"5' 5""",135 lbs.,--,Orthodox,9,7,0,
Muin,Gafurov,Tajik,"5' 7""",135 lbs.,"68.0""",Southpaw,18,5,0,
Mitch,Gagnon,,"5' 5""",135 lbs.,"65.0""",Southpaw,12,5,0,
Brandon,Gaines,,"6' 3""",185 lbs.,--,,5,21,0,
Travis,Galbraith,The Gladiator,"6' 0""",170 lbs.,--,Orthodox,18,7,0,
Dave,Galera,Scarecrow,"5' 11""",135 lbs.,--,Orthodox,5,1,0,
Zelg,Galesic,Benkei,"6' 2""",185 lbs.,--,Orthodox,11,9,0,
Mickey,Gall,,"6' 2""",170 lbs.,"74.0""",Switch,7,5,0,
Daniel,Gallemore,Big Kansas,"6' 5""",265 lbs.,--,,7,3,0,
Tom,Gallicchio,Da Tank,"5' 10""",170 lbs.,--,Southpaw,19,10,0,
Turrell,Galloway,,"5' 3""",145 lbs.,--,,8,6,0,
Eric,Galvan,,--,155 lbs.,--,,0,0,0,
Andre,Galvao,,"5' 7""",168 lbs.,--,Orthodox,5,2,0,
Marcos,Galvao,Loro,"5' 7""",135 lbs.,--,Orthodox,18,8,1,
Lucas,Gamaza,,--,170 lbs.,--,,8,4,0,
Joey,Gambino,The Raging Warrior,"5' 7""",145 lbs.,--,Orthodox,9,2,0,
Manvel,Gamburyan,The Anvil,"5' 5""",135 lbs.,"67.0""",Orthodox,15,10,0,
Mateusz,Gamrot,Gamer,"5' 10""",155 lbs.,"70.0""",Southpaw,22,2,0,
Shamil,Gamzatov,,"6' 2""",205 lbs.,"76.0""",Orthodox,14,1,0,
Ariel,Gandulla,,"5' 11""",205 lbs.,--,Orthodox,7,9,0,
Ciryl,Gane,Bon Gamin,"6' 4""",245 lbs.,"81.0""",Orthodox,11,2,0,
Sean,Gannon,The Cannon,"6' 3""",265 lbs.,--,Southpaw,2,1,0,
Junye,Gao,,--,125 lbs.,--,,19,12,0,
Eduardo,Garagorri,,"5' 9""",145 lbs.,"70.0""",Orthodox,13,2,0,
Cody,Garbrandt,No Love,"5' 8""",135 lbs.,"65.0""",Orthodox,13,5,0,
Leonard,Garcia,Bad Boy,"5' 10""",145 lbs.,"68.0""",Orthodox,18,13,1,
Edgar,Garcia,,"5' 10""",170 lbs.,"71.0""",Orthodox,14,5,0,
Alejandro,Garcia,Alex,"5' 7""",145 lbs.,--,,14,10,0,
Alex,Garcia,The Dominican Nightmare,"5' 9""",170 lbs.,"72.0""",Orthodox,15,6,0,
Nick,Garcia,Nitro,"5' 4""",125 lbs.,--,,8,3,0,
Steve,Garcia,Mean Machine,"6' 0""",145 lbs.,"75.0""",Southpaw,14,5,0,
Elias,Garcia,,"5' 5""",125 lbs.,"67.0""",Southpaw,6,2,0,
Rafa,Garcia,Gifted,"5' 7""",155 lbs.,"70.0""",Orthodox,16,3,0,
Fernie,Garcia,,"5' 7""",135 lbs.,"67.0""",Orthodox,10,3,0,
Rulon,Gardner,,"6' 3""",265 lbs.,--,Orthodox,1,0,0,
David,Gardner,,"5' 11""",155 lbs.,--,Orthodox,18,21,0,
Ian,Garry,The Future,"6' 3""",170 lbs.,"74.0""",Orthodox,12,0,0,
Pablo,Garza,The Scarecrow,"6' 1""",145 lbs.,"73.0""",Orthodox,12,4,0,
Azamat,Gashimov,,"5' 6""",125 lbs.,--,Orthodox,8,3,0,
Brian,Gassaway,,"6' 1""",170 lbs.,--,Orthodox,29,20,2,
Kelvin,Gastelum,,"5' 9""",170 lbs.,"71.0""",Southpaw,18,8,0,
Willie,Gates,,"5' 8""",125 lbs.,"72.0""",Orthodox,12,7,0,
Melissa,Gatto,,"5' 5""",125 lbs.,"69.0""",Orthodox,8,2,2,
Louis,Gaudinot,Goodnight,"5' 3""",125 lbs.,"63.0""",Orthodox,8,4,0,
Manuel,Gaxhja,,"5' 8""",155 lbs.,--,Switch,7,0,0,
Shamil,Gaziev,,--,--,--,,5,1,0,
Charlene,Gellner,Princess,"5' 2""",125 lbs.,--,,0,4,0,
Chad,George,Savage,"5' 6""",135 lbs.,"68.0""",Southpaw,16,8,0,
Paul,Georgieff,,"6' 2""",170 lbs.,--,Orthodox,6,2,0,
Brian,Geraghty,Duke,"5' 7""",155 lbs.,--,Orthodox,26,18,1,
Derek,Getzel,The Pretzel,"6' 0""",155 lbs.,--,,8,5,0,
Karine,Gevorgyan,The Princess,"5' 4""",125 lbs.,"63.0""",,3,3,0,
Darrel,Gholar,,"5' 8""",194 lbs.,--,Orthodox,5,6,0,
Tiki,Ghosn,,"5' 10""",170 lbs.,--,Orthodox,10,7,1,
Christos,Giagos,The Spartan,"5' 10""",155 lbs.,"71.0""",Orthodox,20,10,0,
Joe,Giannetti,,"6' 0""",155 lbs.,"74.0""",Southpaw,6,1,0,
Nick,Gibbons,,"5' 10""",155 lbs.,--,,2,1,0,
James,Giboo,,"5' 11""",170 lbs.,--,Orthodox,13,5,0,
Lance,Gibson,Fearless,"5' 9""",185 lbs.,--,Orthodox,4,5,0,
Lee,Gibson,Lethal,"5' 7""",155 lbs.,--,,12,4,0,
Cody,Gibson,The Renegade,"5' 10""",135 lbs.,"71.0""",Orthodox,15,7,0,
Chase,Gibson,El Guero,"5' 10""",155 lbs.,"72.0""",Orthodox,9,5,0,
Kenny,Giddens,,"5' 11""",155 lbs.,--,,12,7,0,
Thomas,Gifford,The Young Lion,"6' 1""",155 lbs.,"75.0""",Orthodox,14,9,0,
Joseph,Gigliotti,Capo,"5' 11""",185 lbs.,--,Orthodox,7,2,0,
Joey,Gilbert,,"5' 11""",155 lbs.,--,Orthodox,2,3,0,
Trevin,Giles,,"6' 0""",170 lbs.,"74.0""",Orthodox,16,4,0,
Kultar,Gill,Black Mamba,"6' 0""",154 lbs.,--,Orthodox,12,8,0,
Jesse,Gillespie,,--,185 lbs.,--,,3,2,0,
Gregor,Gillespie,The Gift,"5' 7""",155 lbs.,"71.0""",Orthodox,14,1,0,
Jason,Gilliam,,"6' 0""",170 lbs.,--,Orthodox,14,9,0,
Micheal,Gillmore,The Gentleman,"5' 11""",170 lbs.,"72.0""",Orthodox,6,5,0,
Krishaun,Gilmore,,--,--,--,,0,1,0,
Alex,Gilpin,,"5' 7""",145 lbs.,--,Orthodox,11,1,0,
Bob,Gilstrap,,"6' 3""",200 lbs.,--,Orthodox,5,7,0,
Eperaim,Ginting,The Wolfman,"5' 4""",135 lbs.,"64.0""",Orthodox,6,1,0,
Demetrius,Gioulacos,,"5' 11""",185 lbs.,--,,0,1,0,
Billy,Giovanella,Wolverine,"5' 8""",125 lbs.,--,,9,5,0,
He-Man,Gipson,,--,--,--,,1,2,0,
Israel,Giron,El Rojo,"5' 8""",155 lbs.,--,,19,5,0,
Brandon,Girtz,Cold Roll,"5' 7""",155 lbs.,--,,14,7,0,
Jason,Glaza,,"6' 0""",230 lbs.,--,,3,2,0,
Mike,Glenn,,--,205 lbs.,--,,5,6,0,
Ricky,Glenn,The Gladiator,"6' 0""",155 lbs.,"70.0""",Southpaw,22,7,2,
Mark,Godbeer,The Hand Of,"6' 4""",240 lbs.,"77.0""",Orthodox,13,4,0,
Clint,Godfrey,,"5' 6""",135 lbs.,--,Southpaw,13,3,0,
Loopy,Godinez,,"5' 2""",115 lbs.,"61.0""",Orthodox,10,3,0,
Jason,Godsey,,"6' 2""",230 lbs.,--,Orthodox,16,16,0,
Allan,Goes,,"6' 0""",205 lbs.,--,Orthodox,10,5,2,
Billy,Goff,,--,170 lbs.,--,Switch,8,2,0,
Amiran,Gogoladze,,"6' 1""",170 lbs.,"74.0""",Switch,14,3,0,
Jonny,Goh,,"5' 11""",155 lbs.,--,,3,4,0,
Hannah,Goldy,24K,"5' 4""",115 lbs.,"61.0""",Orthodox,6,3,0,
Marcelo,Golm,,"6' 3""",249 lbs.,"75.0""",Orthodox,6,3,0,
Denise,Gomes,Dee,"5' 2""",115 lbs.,"63.0""",Orthodox,8,2,0,
Sergio,Gomez,,"5' 6""",155 lbs.,--,Orthodox,10,3,0,
Frank,Gomez,,"5' 10""",135 lbs.,"67.0""",Orthodox,10,6,0,
Alan,Gomez,,--,155 lbs.,--,,2,0,0,
David,Gomez,,--,155 lbs.,--,,1,2,0,
Ulysses,Gomez,Useless,"5' 6""",125 lbs.,--,Orthodox,9,5,0,
Joey,Gomez,KO King,"5' 10""",135 lbs.,"73.0""",Orthodox,6,2,0,
Luis,Gomez,Tiger Junior,"5' 7""",145 lbs.,"68.0""",Orthodox,4,1,0,
Joey,Gomez,,"5' 10""",155 lbs.,"71.0""",Orthodox,7,1,0,
Edson,Gomez,,"5' 8""",170 lbs.,"69.0""",Switch,6,2,0,
Silvana,Gomez Juarez,La Malvada,"5' 3""",115 lbs.,"65.0""",Orthodox,11,5,0,
Takanori,Gomi,The Fireball Kid,"5' 7""",155 lbs.,"70.0""",Southpaw,35,14,0,
William,Gomis,Jaguar,"6' 0""",145 lbs.,"73.0""",Southpaw,12,2,0,
Akihiro,Gono,,"5' 7""",170 lbs.,"68.0""",Switch,35,21,8,
Gabriel,Gonzaga,Napao,"6' 2""",242 lbs.,"76.0""",Orthodox,17,11,0,
Justin,Gonzales,J-Train,"5' 9""",145 lbs.,"72.0""",Orthodox,6,0,0,
Fernando,Gonzalez,The Menifee Maniac,"5' 9""",170 lbs.,"68.0""",Southpaw,26,14,0,
Nick,Gonzalez,The Ghost,"5' 6""",155 lbs.,--,Orthodox,17,12,0,
Fabian,Gonzalez,,"5' 10""",135 lbs.,--,,2,1,0,
Lewis,Gonzalez,Lethal,"5' 10""",170 lbs.,--,Orthodox,11,3,0,
Jason,Gonzalez,Nicoya,"6' 2""",155 lbs.,"74.0""",Southpaw,11,5,0,
Pearl,Gonzalez,,"5' 4""",115 lbs.,--,Orthodox,6,3,0,
Jorge,Gonzalez,Street,"6' 2""",205 lbs.,"76.0""",Orthodox,16,4,0,
Mikey,Gonzalez,Rolls,"5' 11""",155 lbs.,"74.0""",Orthodox,7,2,0,
Erick,Gonzalez,The Ghost Pepper,"5' 11""",155 lbs.,"75.0""",Orthodox,14,8,0,
Jennifer,Gonzalez,Jefa,"5' 2""",125 lbs.,--,,13,5,0,
Kier,Gooch,,--,155 lbs.,--,,2,7,0,
Lyman,Good,Cyborg,"6' 0""",170 lbs.,"74.0""",Orthodox,21,6,0,
Jared,Gooden,NiteTrain,"6' 0""",170 lbs.,"77.0""",Orthodox,22,9,0,
Gary,Goodridge,Big Daddy,"6' 3""",249 lbs.,--,Orthodox,23,22,1,
Jordan,Goodwin,,--,155 lbs.,--,,0,0,0,
Gerard,Gordeau,,"6' 5""",216 lbs.,--,Orthodox,2,2,0,
Eddie,Gordon,Truck,"6' 0""",185 lbs.,"76.0""",Orthodox,8,4,0,
Jared,Gordon,Flash,"5' 9""",155 lbs.,"68.0""",Orthodox,19,6,0,
Tebaris,Gordon,Boom,"6' 1""",265 lbs.,--,Orthodox,3,1,0,
Malcolm,Gordon,X,"5' 7""",125 lbs.,"71.0""",Switch,14,7,0,
Tresean,Gore,Mr. Vicious,"6' 0""",185 lbs.,"75.0""",Switch,5,2,0,
Alex,Gorgees,Hitman,"6' 2""",155 lbs.,"74.0""",Switch,6,1,0,
Themba,Gorimbo,The Answer,"6' 1""",170 lbs.,"77.0""",Orthodox,11,4,0,
Tim,Gorman,The Psycho,"5' 5""",135 lbs.,--,Southpaw,9,4,0,
Chase,Gormley,,"6' 3""",265 lbs.,--,Orthodox,14,6,0,
Jonathan,Goulet,The Road Warrior,"6' 0""",170 lbs.,"73.0""",Orthodox,23,12,0,
Thibault,Gouti,GT,"5' 10""",155 lbs.,"72.0""",Orthodox,12,5,0,
Wilson,Gouveia,,"6' 1""",185 lbs.,"76.0""",Orthodox,14,8,0,
Todd,Gouwenberg,,"6' 1""",205 lbs.,--,Orthodox,9,5,0,
Hugo,Govea,,--,--,--,,0,1,0,
Justin,Governale,The Therapist,--,145 lbs.,--,,5,5,0,
Damian,Grabowski,The Polish Pitbull,"6' 1""",241 lbs.,"75.0""",Orthodox,20,5,0,
Royce,Gracie,,"6' 1""",175 lbs.,--,Southpaw,15,2,3,
Crosley,Gracie,,"5' 9""",190 lbs.,--,Orthodox,2,2,0,
Daniel,Gracie,,"6' 2""",225 lbs.,--,Orthodox,5,4,1,
Ralph,Gracie,,"5' 9""",183 lbs.,--,Orthodox,6,1,0,
Renzo,Gracie,,"5' 10""",185 lbs.,--,Orthodox,13,7,1,
Rickson,Gracie,,"5' 10""",185 lbs.,--,Switch,11,0,0,
Rodrigo,Gracie,,"6' 0""",183 lbs.,--,Orthodox,6,2,1,
Royler,Gracie,,"5' 8""",150 lbs.,--,Southpaw,5,5,1,
Ryan,Gracie,,"5' 9""",200 lbs.,--,Orthodox,5,2,0,
Ralek,Gracie,,"6' 2""",210 lbs.,--,Orthodox,3,1,0,
Rolles,Gracie,,"6' 4""",242 lbs.,--,Orthodox,8,4,0,
Cesar,Gracie,,"5' 10""",181 lbs.,--,Orthodox,0,1,0,
Roger,Gracie,,"6' 4""",185 lbs.,"79.0""",Orthodox,8,2,0,
Igor,Gracie,,"5' 11""",170 lbs.,--,,5,4,0,
Neiman,Gracie,,"6' 0""",170 lbs.,--,,6,0,0,
Kron,Gracie,,"5' 9""",145 lbs.,"70.0""",Southpaw,5,2,0,
Bogdan,Grad,,--,155 lbs.,--,,11,1,0,
Steven,Graham,,"6' 1""",290 lbs.,--,Orthodox,2,1,0,
Scott,Graham,,"6' 4""",185 lbs.,--,Orthodox,3,1,0,
Miranda,Granger,Danger,"5' 7""",115 lbs.,"68.0""",Orthodox,7,3,0,
TJ,Grant,,"5' 10""",155 lbs.,"72.0""",Orthodox,21,5,0,
Davey,Grant,Dangerous,"5' 8""",135 lbs.,"69.0""",Orthodox,15,6,0,
Dwight,Grant,The Body Snatcher,"6' 1""",185 lbs.,"76.0""",Switch,11,6,0,
Alexa,Grasso,,"5' 5""",125 lbs.,"66.0""",Orthodox,16,3,0,
Tony,Gravely,,"5' 5""",135 lbs.,"69.0""",Orthodox,23,9,0,
Michael,Graves,,"5' 10""",170 lbs.,"71.0""",Orthodox,6,0,1,
Shelton,Graves,The Gravedigger,"6' 2""",255 lbs.,"76.0""",Southpaw,7,3,0,
James,Gray,The Phenom,"5' 9""",135 lbs.,--,Orthodox,4,1,0,
Kevin,Gray,Pocket Herc,"5' 4""",125 lbs.,"67.0""",Orthodox,9,4,0,
Sam,Greco,,"6' 2""",205 lbs.,--,Orthodox,3,1,1,
Bobby,Green,King,"5' 10""",155 lbs.,"71.0""",Orthodox,29,14,1,
Desmond,Green,The Predator,"5' 10""",155 lbs.,"73.0""",Southpaw,23,8,0,
Gabe,Green,Gifted,"5' 10""",170 lbs.,"73.0""",Switch,11,5,0,
Maurice,Greene,The Crochet Boss,"6' 7""",258 lbs.,"80.0""",Orthodox,9,7,0,
Matt,Grice,The Real One,"5' 8""",145 lbs.,"70.0""",Orthodox,15,5,0,
Forrest,Griffin,,"6' 3""",205 lbs.,"77.0""",Orthodox,19,7,0,
Tyson,Griffin,,"5' 6""",145 lbs.,"68.0""",Orthodox,16,8,0,
Max,Griffin,Pain,"5' 11""",170 lbs.,"76.0""",Orthodox,19,10,0,
Jordan,Griffin,Native Psycho,"5' 10""",145 lbs.,"73.0""",Southpaw,18,9,0,
Chad,Griggs,The Grave Digger,"6' 1""",205 lbs.,"73.0""",Orthodox,11,3,0,
Charalampos,Grigoriou,The Ferocious,--,135 lbs.,--,,7,3,0,
Chuck,Grigsby,The Reverend,"6' 6""",205 lbs.,--,Orthodox,23,10,0,
Rodrigo,Gripp de Sousa,Riscado,"5' 11""",205 lbs.,--,Orthodox,7,9,0,
Maxim,Grishin,Maximus,"6' 3""",205 lbs.,"78.0""",Orthodox,32,10,2,
Josh,Grispi,The Fluke,"5' 11""",145 lbs.,"74.0""",Orthodox,14,5,0,
Garrett,Gross,,"5' 9""",155 lbs.,--,Orthodox,11,7,0,
Kendall,Grove,Da Spyder,"6' 6""",185 lbs.,"79.0""",Orthodox,23,17,0,
Neil,Grove,Goliath,"6' 6""",265 lbs.,--,Orthodox,12,8,1,
Chris,Gruetzemacher,Gritz,"5' 8""",155 lbs.,"68.0""",Orthodox,15,5,0,
Vik,Grujic,The Spartan,"5' 11""",170 lbs.,"73.0""",Orthodox,6,6,0,
Mike,Grundy,,"5' 7""",145 lbs.,"72.0""",Orthodox,12,4,0,
Wang,Guan,The Dongbei Tiger,"5' 9""",145 lbs.,"71.0""",Orthodox,20,1,1,
Nandor,Guelmino,The Hun,"6' 3""",230 lbs.,--,,11,5,1,
Fabricio,Guerreiro,,"5' 10""",145 lbs.,--,,21,5,0,
Raine,Guerrero,,--,115 lbs.,--,,5,1,0,
Shannon,Gugerty,,"5' 10""",155 lbs.,"71.0""",Orthodox,15,7,0,
Clay,Guida,The Carpenter,"5' 7""",155 lbs.,"70.0""",Orthodox,38,20,0,
Jason,Guida,,"5' 10""",214 lbs.,--,,19,28,0,
Melvin,Guillard,The Young Assassin,"5' 9""",155 lbs.,"71.0""",Orthodox,32,18,2,
Chris,Guillen,,"6' 0""",240 lbs.,--,Orthodox,13,16,0,
Marcelo,Guimaraes,Magrao,"6' 0""",185 lbs.,"73.0""",Orthodox,9,2,1,
Leonardo,Guimaraes,Leleco,"6' 0""",185 lbs.,--,Orthodox,11,5,0,
Brad,Gumm,,"5' 11""",170 lbs.,--,Orthodox,10,6,1,
John,Gunderson,Quick Guns,"5' 9""",155 lbs.,"69.0""",Orthodox,35,16,2,
John,Gunther,The Machine,"5' 9""",155 lbs.,"72.0""",Orthodox,5,1,0,
Jorge,Gurgel,,"5' 7""",155 lbs.,"69.0""",Orthodox,14,10,0,
Fabio,Gurgel,,"6' 0""",205 lbs.,--,Orthodox,3,2,0,
Bogdan,Guskov,,--,205 lbs.,--,,14,2,0,
Gugun,Gusman,The Tiger,"5' 7""",135 lbs.,"68.0""",Orthodox,8,4,0,
Andre,Gusmao,,"6' 0""",205 lbs.,--,Orthodox,6,3,0,
Alexander,Gustafsson,The Mauler,"6' 5""",205 lbs.,"79.0""",Orthodox,18,8,0,
Justin,Guthrie,,"6' 1""",170 lbs.,--,,18,9,0,
Horacio,Gutierrez,The Punisher,"5' 10""",145 lbs.,--,,4,3,0,
Chris,Gutierrez,El Guapo,"5' 9""",135 lbs.,"67.0""",Orthodox,19,4,2,
Mando,Gutierrez,El Toro,"5' 6""",135 lbs.,"70.0""",Southpaw,7,2,0,
Mike,Guymon,The Joker,"6' 0""",170 lbs.,"74.0""",Orthodox,15,6,1,
,,,,,,,,,,
Chelsea,Hackett,Hammer,"5' 4""",125 lbs.,"66.0""",Switch,3,1,1,
Keith,Hackney,The Giant Killer,"5' 11""",200 lbs.,--,Sideways,2,2,0,
Jake,Hadley,White Kong,"5' 7""",125 lbs.,"70.0""",Southpaw,10,1,0,
Steve,Hadsel,,"5' 8""",170 lbs.,--,,3,0,0,
Damir,Hadzovic,The Bosnian Bomber,"5' 9""",155 lbs.,"70.0""",Orthodox,14,7,0,
Bassil,Hafez,The Habibi,"5' 11""",170 lbs.,"72.0""",Orthodox,8,4,1,
Tim,Hague,The Trashing Machine,"6' 4""",260 lbs.,"76.0""",Orthodox,21,13,0,
Yazan,Hajeh,Yazzle Dazzle,"5' 9""",145 lbs.,--,Orthodox,6,1,0,
Stoney,Hale,The Skuller,"6' 0""",--,--,,5,3,0,
Kevin,Haley,The North Woods Nightmare,"6' 2""",205 lbs.,--,,6,4,0,
Mark,Hall,,"6' 0""",190 lbs.,--,Orthodox,5,6,0,
Uriah,Hall,Prime Time,"6' 0""",185 lbs.,"79.0""",Orthodox,18,11,0,
Ryan,Hall,The Wizard,"5' 10""",145 lbs.,"70.0""",Southpaw,9,2,0,
